canonical_id,summary,primary_category,secondary_categories,scope,current_status,included_in_current_total,historical_event_ids,incoming_relationship_ids,outgoing_relationship_ids,affected_targets,current_docs,related_adrs,adr_coverage,adr_warranted,reviewer_notes
DEA-CANON-0016,A compiler invocation accepts exactly one source target; multi-target execution remains outside the current contract.,CLI and distribution,,L0,Retained,Yes,DEA-DEC-0016,,,L0 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0017,The initial short-option allocation kept `-I` for `--runtime-include`.,CLI and distribution,,L0,Superseded,No,DEA-DEC-0017,,DEA-REL-0043,L0 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0018,`--include-eof` is a long-only token-dump option.,CLI and distribution,,L0,Retained,Yes,DEA-DEC-0018,,,L0 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0019,Mode-scoped options are validated as fatal CLI errors when used with incompatible modes.,CLI and distribution,Diagnostics and recovery,L0,Retained,Yes,DEA-DEC-0019,,,L0 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0020,"With `--run --keep-c`, generated C is retained as `./a.c` by default or as `<output>.c` when `-o` is supplied, while the executable remains temporary.",CLI and distribution,Backend and C emission,L0 Stage 1,Retained,Yes,DEA-DEC-0020,,,L0 Stage 1 | Stage 1,l0/docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/stage1-contract.md,docs/decisions/0003-shared-cli-contract.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0021,"The L0 stdlib and C runtime are stage-independent assets under `compiler/shared`, consumed by both Stage 1 and Stage 2.",Repository and process architecture,Runtime | Standard library,L0,Retained,Yes,DEA-DEC-0022,,,L0 | Stage 1/2,l0/docs/reference/architecture.md | l0/docs/reference/standard-library.md,docs/decisions/0004-monorepo-directory-structure.md,Partially covered,Yes,One atomic historical event.
DEA-CANON-0022,"`L0_HOME` denotes the compiler root, from which the default stdlib and runtime include paths are derived under `shared/`.",CLI and distribution,Repository and process architecture,L0,Retained,Yes,DEA-DEC-0023,,,L0 | Stage 1/2,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0023,L0 compiler stages use diagnostic collectors as the authoritative error channel across frontend phases rather than public exceptions or singleton error results.,Diagnostics and recovery,Frontend architecture,L0,Retained,Yes,DEA-DEC-0024 | DEA-DEC-0068,DEA-REL-0002,DEA-REL-0002,L0 Stage 1 | L0 Stage 2 | Stage 2,docs/specs/compiler/diagnostic-code-catalog.md | l0/docs/reference/architecture.md | l0/docs/specs/compiler/diagnostic-format.md,,Not covered,Yes,This canonical wording consolidates the Stage 2 lexer/parser adoption and the broader Stage 1 pipeline adoption. The shared current collector contract is an uncovered missing-ADR candidate; the earlier Stage 2-only event was correctly classified as too narrow to warrant its own ADR. Included in the prioritized missing-ADR backlog.
DEA-CANON-0024,Recoverable invalid source input is consumed and scanning continues instead of terminating lexing at the first error.,Diagnostics and recovery,Frontend architecture,Shared L0/L1,Retained,Yes,DEA-DEC-0025 | DEA-DEC-0457,DEA-REL-0004,DEA-REL-0004 | DEA-REL-0007,L0 Stage 2 | Shared | Shared L0/L1 | Stage 2,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md | docs/specs/compiler/diagnostic-code-catalog.md,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md,Covered as part of a broader ADR,Yes,The canonical rule follows the fail-fast supersession chain.
DEA-CANON-0025,"Dea parsers recover at declaration and block-local statement boundaries, preserve partial parse results, and do not unwind a malformed function into top-level parsing.",Diagnostics and recovery,Frontend architecture,Shared L0/L1,Retained,Yes,DEA-DEC-0027 | DEA-DEC-0069 | DEA-DEC-0441,DEA-REL-0005,DEA-REL-0005,L0 Stage 1 | L0 Stage 2 | Shared | Shared L0/L1 | Stage 2,l0/docs/reference/architecture.md | l0/docs/specs/compiler/diagnostic-format.md | l1/docs/reference/architecture.md,,Not covered,Yes,This is the shared current rule after the top-level-only Stage 2 limit was removed. Included in the prioritized missing-ADR backlog.
DEA-CANON-0026,"Recoverable lexer diagnostics cross into parsing as logical wrapper tokens carrying diagnostic data and an optional recovery token, replacing direct collector copying.",Frontend architecture,Diagnostics and recovery | Frontend architecture,Shared L0/L1,Retained,Yes,DEA-DEC-0028 | DEA-DEC-0460,DEA-REL-0006 | DEA-REL-0007,DEA-REL-0006,L0 Stage 2 | Shared | Shared L0/L1 | Stage 2,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md | l0/docs/specs/compiler/stage1-contract.md | l1/docs/reference/architecture.md,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md,Directly covered,Yes,The canonical wording includes the superseded direct-copy transport in one historical chain.
DEA-CANON-0027,Reusable containers and text infrastructure are public flat `std.*` modules shared by both L0 compiler stages rather than Stage 2-private `util.*` modules.,Standard library,Repository and process architecture,L0,Retained,Yes,DEA-DEC-0029,,,L0 | Stage 1/2,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0028,Compiler-specific diagnostic infrastructure remains private to Stage 2 as `util.diag` and is not promoted to `std.diag`.,Standard library,Diagnostics and recovery | Frontend architecture,L0 Stage 2,Retained,Yes,DEA-DEC-0030,,,L0 Stage 2 | Stage 1/2,l0/docs/reference/architecture.md | l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0029,"The L0 stdlib dependency graph must remain acyclic, specifically avoiding mutual imports between `std.string` and `std.text`.",Standard library,Repository and process architecture,L0,Retained,Yes,DEA-DEC-0031,,,L0 | Stage 1/2,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0030,"Parsing and formatting conversions live in `std.text`, while low-level character, byte, and raw string helpers remain in `std.string`.",Standard library,,L0,Retained,Yes,DEA-DEC-0032 | DEA-DEC-0037,,,L0 | Shared L0 stdlib | Stage 1/2,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Directly covered,Yes,Groups 2 historical events.
DEA-CANON-0031,Unwrapping a place-owned `string?` with `opt as string` is non-consuming: the optional remains valid and the value is ownership-stabilized only when it crosses a real ownership boundary.,Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0033,,,L0 | Stage 1,l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0007-nullability-and-casts.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0032,"L0 I/O wrappers classify success and failure solely from each runtime call's direct return value, never from ambient `errno`.",Standard library,Runtime,L0,Retained,Yes,DEA-DEC-0034,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,ADR not warranted,No,One atomic historical event.
DEA-CANON-0033,Mixed `int`/`byte` relational and equality expressions remain valid numeric operations; the backend must lower them rather than reject them as a type mismatch.,Type system,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0035,,,L0 | Stage 1,l0/docs/reference/design-decisions.md,l0/docs/decisions/0003-integer-model.md | l0/docs/decisions/0013-comparison-operator-scope.md,Partially covered,Yes,One atomic historical event.
DEA-CANON-0034,Bindings declared in a `with` header remain in scope throughout all inline and block cleanup clauses.,Language semantics,Ownership and memory safety | Type system,L0,Retained,Yes,DEA-DEC-0036,,,L0 | Stage 1,l0/docs/reference/grammar.md | l0/docs/reference/ownership.md,l0/docs/decisions/0010-with-statement-cleanup.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0035,The canonical boolean text representation is lowercase `true`/`false`; parsing is case-sensitive and returns null for every other spelling.,Standard library,Language semantics,L0,Retained,Yes,DEA-DEC-0038,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0036,"`std.string::byte_to_s` remains a one-character byte conversion, while numeric byte formatting and parsing use distinct explicit `std.text` APIs.",Standard library,,L0,Retained,Yes,DEA-DEC-0039,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0037,Numeric byte parsing validates the inclusive range 0 through 255 and returns null for invalid or out-of-range input rather than wrapping or saturating.,Standard library,Language semantics,L0,Retained,Yes,DEA-DEC-0040,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,l0/docs/decisions/0003-integer-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0038,Base-aware integer and byte text conversions support bases 2 through 16; invalid bases or invalid/overflowing parse input do not produce wrapped values.,Standard library,Language semantics,L0,Retained,Yes,DEA-DEC-0041,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,l0/docs/decisions/0003-integer-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0039,"`split_s` accepts a string separator and preserves empty tokens between, before, or after matches.",Standard library,,L0,Retained,Yes,DEA-DEC-0042,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0040,Calling `split_s` with an empty separator is a runtime assertion failure.,Standard library,Runtime,L0,Retained,Yes,DEA-DEC-0043,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0041,"`lines_s` uses LF as the line delimiter and strips one trailing CR from each resulting line, normalizing CRLF input.",Standard library,Portability,L0,Retained,Yes,DEA-DEC-0044,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0042,"`lines_s` maps an empty input string to an empty vector, not a vector containing one empty line.",Standard library,,L0,Retained,Yes,DEA-DEC-0045,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0043,A trailing final LF does not create an additional empty element in `lines_s`.,Standard library,,L0,Retained,Yes,DEA-DEC-0046,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0044,`replace_s` performs global non-overlapping replacement from left to right.,Standard library,,L0,Retained,Yes,DEA-DEC-0047,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0045,Calling `replace_s` with an empty old pattern is a runtime assertion failure.,Standard library,Runtime,L0,Retained,Yes,DEA-DEC-0048,,,L0 | Shared L0 stdlib,l0/docs/reference/standard-library.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0046,"The public `std.time` model distinguishes wall-clock snapshots, monotonic snapshots, durations, and calendar date-times as separate value types.",Standard library,Runtime,L0,Retained,Yes,DEA-DEC-0049,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Partially covered,Yes,The stdlib-boundary ADR names std.time but does not record its distinct clock/duration/calendar model. Included in the prioritized missing-ADR backlog.
DEA-CANON-0047,"Runtime clock snapshots use a single out-pointer call returning sec/nsec together, preventing torn readings across multiple calls.",ABI and linking,Runtime | Standard library,L0,Retained,Yes,DEA-DEC-0050,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,l0/docs/decisions/0005-extern-func-ffi-boundary.md,Partially covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0048,Fallible public `std.time` operations return optionals/null rather than panicking or exposing sentinel values.,Standard library,Language semantics | Runtime,L0,Retained,Yes,DEA-DEC-0051,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,,Not covered,Yes,The public time failure channel is foundational API semantics without ADR coverage. Included in the prioritized missing-ADR backlog.
DEA-CANON-0049,"When a monotonic clock is unsupported, the API reports false/null and never substitutes wall-clock time.",Runtime,Portability | Standard library,L0,Retained,Yes,DEA-DEC-0052,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0050,UTC civil-calendar conversion is implemented with integer-only date arithmetic in L0 rather than delegated to the C runtime.,Runtime,Portability | Standard library,L0,Retained,Yes,DEA-DEC-0053,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,l0/docs/decisions/0003-integer-model.md,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0051,Local calendar conversion delegates time-zone offset and DST lookup to the runtime at the source Unix second.,Runtime,Portability | Standard library,L0,Retained,Yes,DEA-DEC-0054,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,l0/docs/decisions/0005-extern-func-ffi-boundary.md,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0052,Nanosecond components are validated and normalized to the invariant `0 <= nsec < 1_000_000_000`.,Standard library,Runtime,L0,Retained,Yes,DEA-DEC-0055,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0053,The calendar model does not represent leap seconds; DateTime seconds remain in the range 0 through 59.,Standard library,Language semantics,L0,Retained,Yes,DEA-DEC-0056,,,L0 | Shared L0 stdlib/runtime,l0/docs/reference/standard-library.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0054,"`drop` accepts both non-null and nullable pointers, and dropping null is a safe no-op.",Ownership and memory safety,Language semantics | Runtime,L0,Retained,Yes,DEA-DEC-0057,,,L0 | Stage 1/2,l0/docs/reference/ownership.md,l0/docs/decisions/0008-arc-ownership-model.md | l0/docs/decisions/0010-with-statement-cleanup.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0055,ARC cleanup on loop exits is path-sensitive and releases only locals definitely initialized on the active path.,Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0058,,,L0 | Stage 1,l0/docs/reference/c-backend-design.md | l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0056,"A `for`-loop `continue` cleans the current iteration body scope, then executes the update step, while preserving the outer header scope.",Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0059,,,L0 | Stage 1,l0/docs/reference/c-backend-design.md | l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0057,A `for`-loop `break` cleans both the current body scope and the outer `for` header scope before leaving the loop.,Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0060,,,L0 | Stage 1,l0/docs/reference/c-backend-design.md | l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0058,"For `while` loops, both `continue` and `break` clean the current loop-body scope before transferring control.",Ownership and memory safety,Backend and C emission | Language semantics,L0,Retained,Yes,DEA-DEC-0061,,,L0 | Stage 1,l0/docs/reference/c-backend-design.md | l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0059,"A single owning `AnalysisResult` aggregate carries the DriverState, combined diagnostics, name environments, signatures, and local-scope environments.",Semantic analysis,Frontend architecture | Ownership and memory safety,L0 Stage 2,Retained,Yes,DEA-DEC-0062,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0060,"Module name resolution creates all module environments first, collects local declarations second, opens imports third, and aggregates diagnostics last.",Semantic analysis,Frontend architecture,L0 Stage 2,Retained,Yes,DEA-DEC-0063,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,l0/docs/decisions/0006-module-system-and-imports.md,Covered as part of a broader ADR,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0061,Top-level `let` inference is deliberately limited to primitive literals and struct/enum constructor-style calls; all other initializers require an annotation.,Type system,Language semantics | Semantic analysis,L0,Retained,Yes,DEA-DEC-0064,,,L0 | Stage 2,l0/docs/project-status.md | l0/docs/reference/architecture.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0062,"Stage 2 `--check` runs through semantic analysis and returns failure for any driver or semantic error, not merely syntax failure.",CLI and distribution,Frontend architecture | Semantic analysis,L0 Stage 2,Retained,Yes,DEA-DEC-0065,,,L0 Stage 2 | Stage 2,docs/specs/compiler/cli-contract.md | l0/docs/reference/architecture.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0063,"ARC and memory trace events carry the originating L0 source file and line in a `loc` field, and trace triage preserves that provenance.",Runtime,Diagnostics and recovery,L0,Retained,Yes,DEA-DEC-0066,,,L0 | Runtime / compiler shared,l0/docs/specs/runtime/trace.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0064,"Trace provenance is captured by macro-wrapped runtime entrypoints using `__FILE__` and `__LINE__`, relying on generated-C `#line` directives to resolve them to L0 call sites.",Runtime,Backend and C emission | Portability,L0,Retained,Yes,DEA-DEC-0067,,,L0 | Runtime / compiler shared,l0/docs/reference/c-backend-design.md | l0/docs/specs/runtime/trace.md,l0/docs/decisions/0011-c-emission-strategy.md,Partially covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0065,Semantic analysis starts only after compilation-unit construction completes without lexer/parser errors.,Frontend architecture,Diagnostics and recovery | Semantic analysis,L0 Stage 1,Retained,Yes,DEA-DEC-0070,,,L0 Stage 1,l0/docs/reference/architecture.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0066,Documentation generation never mutates tracked source; all transformations operate on generated build inputs.,Repository and process architecture,,Repository/tooling,Retained,Yes,DEA-DEC-0071,,,Repository/tooling,l0/docs/README.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0067,Generated documentation lives under build output and is not committed.,Repository and process architecture,,Repository/tooling,Retained,Yes,DEA-DEC-0072,,,Repository/tooling,l0/docs/README.md,docs/decisions/0006-docs-work-taxonomy.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0068,The m.css renderer is vendored as a tracked snapshot and never cloned during a documentation build.,Repository and process architecture,Portability,Repository/tooling,Retained,Yes,DEA-DEC-0073,,,Repository/tooling,THIRD_PARTY_NOTICES | l0/docs/README.md,docs/decisions/0004-monorepo-directory-structure.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0069,The generated standalone HTML API reference is published through GitHub Pages.,CLI and distribution,Repository and process architecture,Repository/tooling,Retained,Yes,DEA-DEC-0074,,,Repository/tooling,.github/workflows/l0-docs-publish.yml | l0/docs/README.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0070,Generated Markdown is transformed into a dedicated non-post Chirpy API subtree for use by a separate blog repository.,CLI and distribution,Repository and process architecture,Repository/tooling,Retained,Yes,DEA-DEC-0075,,,Repository/tooling,.github/workflows/l0-docs-publish.yml | l0/docs/README.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0071,The PDF API reference is published both under the Pages site and as a GitHub Release asset.,CLI and distribution,Repository and process architecture,Repository/tooling,Retained,Yes,DEA-DEC-0076,,,Repository/tooling,.github/workflows/l0-release.yml | l0/docs/README.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0072,Pull-request documentation jobs validate without publishing; publication is confined to release and explicit manual workflows.,Repository and process architecture,CLI and distribution,Repository/tooling,Retained,Yes,DEA-DEC-0077,,,Repository/tooling,.github/workflows/l0-docs-publish.yml | .github/workflows/l0-docs-validate.yml,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0073,"The Dea documentation workflow directly checks out, synchronizes, commits, and pushes the managed API subtree in the blog repository.",Repository and process architecture,CLI and distribution,Repository/tooling,Superseded,No,DEA-DEC-0078,,DEA-REL-0044,Repository/tooling,.github/workflows/l0-docs-publish.yml,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0074,An explicit int-to-byte cast with a compile-time-known value outside 0..255 is rejected at compile time; dynamic values retain runtime checking.,Type system,Diagnostics and recovery | Language semantics,L0 Stage 1,Retained,Yes,DEA-DEC-0079,,,L0 Stage 1,l0/docs/reference/design-decisions.md | l0/docs/specs/compiler/stage1-contract.md,l0/docs/decisions/0007-nullability-and-casts.md,Directly covered,Yes,One atomic historical event.
