record_type,path,date,title,kind,repository_area,scope,stage,subsystem,final_status,decision_count,notes
Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-util-stdlib-lift.md,2026-02-24,Move reusable Stage 2 util modules into Stage 1 stdlib and hard-cut Stage 2 imports to `std.*`,Refactor,L0,L0,Stage 1/2,Standard library / Stage 2 infrastructure,Closed (implemented),4,Final audited decision count: 4. The decisions concern durable public-vs-compiler module boundaries and dependency constraints; the mechanical import migration is not counted.
Plan,l0/work/plans/bug-fixes/closed/2026-02-25-arc-opt-as-string-unwrap-ownership-noref.md,2026-02-25,Stabilize Stage 1 ownership lowering for `string?` unwrap (`opt as string`),Bug Fix,L0,L0 Stage 1,Stage 1,Backend code generation / ARC,Closed (fixed),1,Final audited decision count: 1. The non-consuming ownership semantics are counted once; retain gating and temp suppression are required lowering consequences.
Plan,l0/work/plans/bug-fixes/closed/2026-02-25-stdio-stale-errno-io-wrappers-noref.md,2026-02-25,Remove stale-`errno` gating from `std.io` success/failure classification,Bug Fix,L0,L0,Shared L0 stdlib,Standard library I/O / runtime boundary,Closed (fixed),1,Final audited decision count: 1. Establishes the authoritative error channel at the stdlib/runtime boundary.
Plan,l0/work/plans/refactors/closed/2026-02-25-stage2-driver-state-source-cache-noref.md,2026-02-25,Unify `DriverResult` into `DriverState` with embedded source cache,Refactor,L0,L0 Stage 2,Stage 2,Driver,Closed (implemented),0,Final audited decision count: 0. A local API simplification and cache optimization explicitly described as having no behavioral change; it does not cross the architectural threshold.
Plan,l0/work/plans/bug-fixes/closed/2026-02-27-stage1-backend-mixed-int-byte-binary-ice-1014-noref.md,2026-02-27,Align Stage 1 backend binary-op lowering with typechecker mixed numeric semantics,Bug Fix,L0,L0,Stage 1,Type system / backend code generation,Closed (fixed),1,"Final audited decision count: 1. Counts the reaffirmed mixed numeric compatibility rule, not the ICE root cause or tests."
Plan,l0/work/plans/bug-fixes/closed/2026-02-27-with-cleanup-drop-false-positive-noref.md,2026-02-27,Fix false use-after-drop error for variables dropped in `with` cleanup clause,Bug Fix,L0,L0,Stage 1,Type checker / `with` scope semantics,Closed (fixed),1,Final audited decision count: 1. The reorder itself follows existing LIFO cleanup semantics; the independently durable header-binding scope rule is counted.
Plan,l0/work/plans/features/closed/2026-02-27-stdlib-string-conversions-noref.md,2026-02-27,"Unify base-digit helpers, move decimal int parsing to `std.text`, and add builtin bool/byte conversions",Feature,L0,L0,Shared L0 stdlib,Standard library string/text conversions,Implemented (2026-02-27),5,"Final audited decision count: 5. Public helper behavior is grouped by independently selectable conversion contract, not by function or implementation phase."
Plan,l0/work/plans/features/closed/2026-02-27-stdlib-string-text-split-helpers-noref.md,2026-02-27,"Add `is_empty_s`/`find_last_s`, standard split/line/join/replace helpers, and document `trim_s`",Feature,L0,L0,Shared L0 stdlib,Standard library string/text operations,Implemented (2026-02-27),7,"Final audited decision count: 7. The explicit public behavior section is split into atomic separator, line-ending, empty-input, terminal-newline, replacement-order, and invalid-pattern choices."
Plan,l0/work/plans/features/closed/2026-02-27-stdlib-time-interface-noref.md,2026-02-27,"Add one-call time snapshots, UTC/local date breakdown, and monotonic duration helpers",Feature,L0,L0,Shared L0 stdlib/runtime,Standard library time / runtime ABI,Implemented (2026-02-27),8,Final audited decision count: 8. The plan has an explicit behavior-and-design section. Temporary v1 omissions such as sleep and formatting APIs are not counted.
Plan,l0/work/plans/refactors/closed/2026-02-27-remove-drop-workarounds-noref.md,2026-02-27,Remove workarounds for `drop` in `with` clauses,Refactor,L0,L0,Stage 1/2,Ownership semantics / parser / standard library,Closed (implemented),1,Final audited decision count: 1. The wrapper deletions are mechanics; the durable nullable-pointer `drop` contract is counted.
Plan,l0/work/plans/bug-fixes/closed/2026-02-28-stage1-backend-loop-continue-arc-release-uninitialized-noref.md,2026-02-28,Fix Stage 1 loop lowering that emits ARC cleanup for a local not initialized on `continue` paths,Bug Fix,L0,L0 Stage 1,Stage 1,Backend control flow / ARC,Closed (fixed),4,"Final audited decision count: 4. Counts the path-sensitive ownership invariant and the distinct cleanup boundaries for `for` continue, `for` break, and `while` exits."
Plan,l0/work/plans/features/closed/2026-02-28-stage2-semantic-foundation-milestone-noref.md,2026-02-28,Stage 2 semantic foundation milestone,Feature,L0,L0 Stage 2,Stage 2,Semantic analysis,Implemented (2026-02-28),4,"Final audited decision count: 4. Mechanical Stage 1 parity is not recounted. The ledger records the semantic data model, owning aggregate, resolver ordering, narrow top-level inference rule, and `--check` phase boundary. Global reconciliation removed 3 repeated or non-architectural candidate event(s)."
Plan,l0/work/plans/refactors/closed/2026-02-28-trace-source-location.md,2026-02-28,Enhance ARC and Memory tracing with L0 call-site location reporting,Refactor,L0,L0,Runtime / compiler shared,Runtime tracing / C emission / trace analysis,Closed (implemented),2,Final audited decision count: 2. Separates the trace artifact contract from the macro-based compiler/runtime capture mechanism.
Plan,l0/work/plans/features/closed/2026-03-01-stage2-expression-type-checking-milestone.md,2026-03-01,Stage 2 expression type checking milestone,Feature,L0,L0 Stage 2,L0 Stage 2,Frontend semantics,Implemented (2026-03-01),0,Final audited decision count: 0. The feature work is a mechanical Stage 1 port; only the explicit Stage 1-oracle rule is architectural. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/refactors/closed/2026-03-01-stage1-diagnostics.md,2026-03-01,Unified Stage 1 Diagnostics Collector and Full Error Recovery,Refactor,L0,L0 Stage 1,L0 Stage 1,Lexer / parser / driver / CLI,Closed (implemented),3,"Final audited decision count: 3. Settles collector ownership, recovery boundaries, and the parse-to-semantics barrier."
Plan,l0/work/plans/tools/closed/2026-03-02-doxygen-mcss-docs-system.md,2026-03-02,"Integrated Doxygen + m.css documentation system with generated HTML, Markdown, and LaTeX output",Feature,L0,Repository/tooling,Repository/tooling,Documentation generation,Implemented,3,Final audited decision count: 3. A dense explicit decision record; presentation-only tweaks were excluded. Global reconciliation removed 5 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-04-release-oriented-docs-publishing-automation-noref.md,2026-03-04,"Release-oriented automation for publishing generated HTML, Chirpy-integrated Markdown, and PDF API documentation",Feature,L0,Repository/tooling,Repository/tooling,Documentation / CI,Implemented,5,Final audited decision count: 5. The direct cross-repository synchronization decision was later superseded.
Plan,l0/work/plans/features/closed/2026-03-06-explicit-cast-constant-safety-diagnostics-noref.md,2026-03-06,Add compile-time diagnostics for provably-invalid explicit casts (`int -> byte` overflow and constant-null pointer unwrap),Feature,L0,L0 Stage 1,L0 Stage 1,Type checking / cast semantics,Closed (implemented),2,"Final audited decision count: 2. Counts the two independently chosen compile-time rejection rules, not diagnostic wording or codes."
Plan,l0/work/plans/features/closed/2026-03-08-l0-cflags-c-compiler-options-noref.md,2026-03-08,"Support `L0_CFLAGS` in Stage 1 and Stage 2 CLI plumbing, merged with `--c-options`",Feature,L0,L0,L0 Stage 1 and Stage 2,CLI / host-C option resolution,Closed (implemented),4,Final audited decision count: 4. Contains an explicit final policy section with four durable option-resolution choices.
Plan,l0/work/plans/features/closed/2026-03-09-stage2-backend-c-emitter-milestone.md,2026-03-09,Stage 2 backend and C emitter milestone,Feature,L0,L0 Stage 2,L0 Stage 2,Backend / C emission / CLI --gen,Implemented (2026-03-09),3,Final audited decision count: 3. Mechanical lowering ports were excluded; parity-oracle and backend-boundary choices remain. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,2026-03-09,"Add shared stdlib/runtime bootstrap APIs for filesystem helpers, path utilities, file metadata, and safe raw byte stdio",Feature,L0,L0,L0 Stage 1 and Stage 2,Standard library / runtime,Closed (implemented),14,Final audited decision count: 14. The reopened plan explicitly replaces its earlier raw std.io direction with a safe/unsafe boundary.
Plan,l0/work/plans/bug-fixes/closed/2026-03-10-stage2-source-paths-l0-home-fallback-noref.md,2026-03-10,Restore Stage 2 source-root defaulting parity with Stage 1 by honoring the `L0_HOME/shared/l0/stdlib` fallback,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Driver / source path resolution,Closed (fixed),1,Final audited decision count: 1. Records the durable source-root precedence restored by the fix.
Plan,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,2026-03-10,Implement Stage 2 `l0c --build` and `--run` on top of the Stage 2 backend,Feature,L0,L0 Stage 2,L0 Stage 2,Driver / CLI / host compiler invocation,Implemented (2026-03-10),4,Final audited decision count: 4. Existing Stage 1 CLI behavior ported mechanically was not recounted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md,2026-03-10,"Bootstrap, Make workflow, and installable Stage 2 toolchain",Feature,L0,L0 Stage 2,L0 Stage 2,Bootstrap / build workflow / install layout,Closed (implemented),7,Final audited decision count: 7. Filename date is March 9; metadata date is March 10. Phase mechanics were excluded.
Plan,l0/work/plans/bug-fixes/closed/2026-03-11-general-logical-short-circuit-arc-temp-lowering-noref.md,2026-03-11,Fix general non-control-flow `&&` / `||` lowering that evaluates ARC-producing operands eagerly,Bug Fix,L0,L0,L0 Stage 1 and Stage 2,Backend code generation,Closed (fixed),1,Final audited decision count: 1. Broadens the preceding condition-only lowering rule to all value contexts.
Plan,l0/work/plans/bug-fixes/closed/2026-03-11-stage1-backend-condition-arc-temp-control-flow-noref.md,2026-03-11,Fix Stage 1 control-flow condition lowering that hoists ARC temps out of `if` / `while` / `for` headers,Bug Fix,L0,L0,L0 Stage 1 and Stage 2,Backend code generation,Closed (fixed),1,"Final audited decision count: 1. Establishes the structured, evaluation-point condition-lowering rule."
Plan,l0/work/plans/bug-fixes/closed/2026-03-11-stage2-self-host-parity-fixes-noref.md,2026-03-11,Fix Stage 2 semantic and backend parity bugs blocking self-hosting correctness,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Semantics / parser / backend,Closed (fixed),0,Final audited decision count: 0. All changes restore already-settled Stage 1 rules or retained-C spellings; no new architectural choice.
Plan,l0/work/plans/bug-fixes/closed/2026-03-11-stage2-triple-bootstrap-self-hosting-bug-fixes-noref.md,2026-03-11,Fix Stage 2 self-hosting parity bugs exposed by the triple-bootstrap / triple-compilation regression,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Self-hosting / semantics / C emission,Closed (fixed),0,Final audited decision count: 0. A bug inventory and mechanical parity restoration under a separately settled bootstrap strategy.
Plan,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,2026-03-11,Triple-bootstrap / triple-compilation test and Stage 2 self-hosting prerequisites,Feature,L0,L0 Stage 2,L0 Stage 2,Bootstrap / self-hosting validation,Closed (implemented),3,"Final audited decision count: 3. Separates retained-C identity, native identity, and the TCC exception as independently selectable rules."
Plan,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,2026-03-11,"Windows Build Support (MinGW-w64 Tier 1, MSVC Tier 2)",Feature,L0,L0,L0 Stage 1 and Stage 2,Build workflow / driver / CI,Closed (implemented),3,Final audited decision count: 3. The original MINGW64-default support tier was later superseded by UCRT64-default policy. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-12-stage2-cli-help-usage-parity-noref.md,2026-03-12,Restore Stage 2 `l0c` help and usage output parity without porting Python `argparse`,Bug Fix,L0,L0 Stage 2,L0 Stage 2,CLI / driver,Closed (fixed),0,Final audited decision count: 0. The custom-parser direction repeats the existing CLI contract; help wording and mechanical parity add no new architectural event. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-12-stage2-new-expression-parity-noref.md,2026-03-12,Fix Stage 2 `new` semantic-analysis parity for zero-argument struct allocation and enum-variant heap allocation,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Semantic analysis / typing,Closed (fixed),0,Final audited decision count: 0. Mechanical restoration of pre-existing Stage 1 new-expression semantics.
Plan,l0/work/plans/bug-fixes/closed/2026-03-12-stage2-project-root-parity-noref.md,2026-03-12,Restore Stage 2 project-root selection parity with Stage 1 for path-like entry targets,Bug Fix,L0,L0 Stage 2,L0 Stage 2,CLI / source paths,Closed (fixed),0,Final audited decision count: 0. Mechanical Stage 2 parity correction for an already-settled shared CLI rule.
Plan,l0/work/plans/bug-fixes/closed/2026-03-12-stage2-verbose-parity-noref.md,2026-03-12,"Restore Stage 2 verbose stderr parity for analysis, codegen, build, and run flows",Bug Fix,L0,L0 Stage 2,L0 Stage 2,CLI / driver / analysis / backend,Closed (fixed),0,"Final audited decision count: 0. Logging wording, ordering, and level adjustments are excluded."
Plan,l0/work/plans/bug-fixes/closed/2026-03-12-stage2-with-cleanup-header-predecl-noref.md,2026-03-12,Fix Stage 2 backend lowering for nullable `with`-header lets referenced by cleanup blocks on header `?` failure,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Backend / with lowering,Closed (fixed),0,Final audited decision count: 0. Mechanical Stage 2 port of the established Stage 1 ownership lowering.
Plan,l0/work/plans/features/closed/2026-03-12-cli-version-flag-and-identity-text-noref.md,2026-03-12,Add `--version` and shared compiler identity text for both compiler stages,Feature,L0,L0,L0 Stage 1 and Stage 2,CLI,Closed (implemented),2,Final audited decision count: 2. Separates the version operation from reuse of identity text across public output surfaces.
Plan,l0/work/plans/features/closed/2026-03-12-shared-cli-contract-spec.md,2026-03-12,Define a stable shared CLI contract under `docs/specs/` for Stage 1 and Stage 2 compiler behavior,Feature,L0,Shared L0/L1,Dea compiler stages,CLI / specifications,Closed,2,Final audited decision count: 2. Promotes stage-independent behavior to one normative home and makes deviations explicit.
Plan,l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md,2026-03-12,Embed build-provenance metadata in Stage 2 binaries for `install-dev-stage2` and `install` without perturbing triple-bootstrap stability,Feature,L0,L0 Stage 2,L0 Stage 2,CLI / build tooling / installed artifacts,Closed (implemented),5,"Final audited decision count: 5. Counts public artifact/provenance contracts, not individual field formatting details."
Plan,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md,2026-03-13,Fix Linux and strict C99 compatibility bugs blocking host validation and bootstrap checks,Bug Fix,L0,L0,L0 Stage 1 and Stage 2,Runtime / backend / bootstrap,Closed (fixed),3,"Final audited decision count: 3. One runtime failure rule, one emitted-C portability rule, and one bootstrap normalization rule."
Plan,l0/work/plans/bug-fixes/closed/2026-03-13-windows-stage2-shell-test-regressions-noref.md,2026-03-13,"Fix remaining Windows CI Stage 2 test failures caused by missing `.cmd` wrapper `L0_HOME`, `/tmp` path mapping, and missing `win32` platform handling",Bug Fix,L0,L0 Stage 2,L0 Stage 2,Driver / build tooling / tests,Implemented,1,Final audited decision count: 1. Test-path mechanics were excluded; wrapper root derivation and Windows bootstrap identity policy remain. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/refactors/closed/2026-03-13-stdlib-fs-io-boundary-cleanup-noref.md,2026-03-13,"Move path-based file helpers out of `std.io`, add `std.fs::exists`, and remove redundant `rt_file_exists`",Refactor,L0,L0,L0 Stage 1 and Stage 2,Standard library / runtime,Closed (implemented),3,"Final audited decision count: 3. Explicit public module boundary, generic-existence semantics, and hard-cut migration policy."
Plan,l0/work/plans/tools/closed/2026-03-13-linux-ci-workflow.md,2026-03-13,Linux GitHub Actions CI workflow for full validation,Feature,L0,Repository/tooling,Repository/tooling,CI,Closed (implemented),1,Final audited decision count: 1. The initial no-push trigger policy was later superseded. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-13-linux-docker-test-workflow.md,2026-03-13,Explicit Linux Docker workflow for repository validation,Feature,L0,Repository/tooling,Repository/tooling,Build workflow / Docker,Closed (implemented),2,Final audited decision count: 2. Captures opt-in Docker policy and delegation to canonical Make targets.
Plan,l0/work/plans/tools/closed/2026-03-13-windows-dev-install-and-prefix-workflow.md,2026-03-13,"Add a usable Windows workflow for `install-dev-*`, `use-dev-*`, and `install`",Feature,L0,L0,L0 Stage 1 and Stage 2,Build workflow / launchers,Closed,2,"Final audited decision count: 2. Defines native activation, alias implementation, and environment ownership. Global reconciliation removed 1 repeated or non-architectural candidate event(s)."
Plan,l0/work/plans/bug-fixes/closed/2026-03-14-stage2-windows-argv-crlf-test-noref.md,2026-03-14,Normalize Windows CRLF output in the Stage 2 argv forwarding shell regression,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Test infrastructure,Implemented,0,Final audited decision count: 0. A narrow test normalization; no durable architectural choice.
Plan,l0/work/plans/bug-fixes/closed/2026-03-14-stage2-windows-relative-run-command-noref.md,2026-03-14,Normalize Windows relative executable tokens before Stage 2 `system()` execution,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Driver / build-run execution,Implemented,0,Final audited decision count: 0. A platform-specific correctness repair to the already-chosen execution path.
Plan,l0/work/plans/bug-fixes/closed/2026-03-14-windows-stage1-make-guidance-noref.md,2026-03-14,Correct the Windows `make use-dev-stage1` guidance to use `scripts\\l0c.cmd` in native shells,Bug Fix,L0,Repository/tooling,Repository/tooling,Developer documentation,Implemented,0,Final audited decision count: 0. Corrects documentation to then-current behavior; no new direction.
Plan,l0/work/plans/features/closed/2026-03-14-stage2-final-cli-parity-milestone.md,2026-03-14,Implement the remaining Stage 2 public CLI parity gap (`--ast`) and close the Stage 2 parity milestone,Feature,L0,L0 Stage 2,L0 Stage 2,CLI / AST inspection,Implemented,0,Final audited decision count: 0. Mechanical implementation of the shared --ast contract and Stage 1 traversal behavior.
Plan,l0/work/plans/tools/closed/2026-03-14-stage2-run-tests-target-selection-noref.md,2026-03-14,Add direct Stage 2 test-name selection and per-test wall-clock timing to `run_tests.py`,Tool,L0,Repository/tooling,Repository/tooling,Test runner,Implemented,0,Final audited decision count: 0. Local test-runner convenience behavior is below the architectural threshold.
Plan,l0/work/plans/tools/closed/2026-03-14-windows-readme-addendum-noref.md,2026-03-14,"Add a root-level Windows addendum for shell usage, launcher layout, and install workflows",Feature,L0,Repository/tooling,Repository/tooling,Documentation / developer workflow,Implemented,0,Final audited decision count: 0. Consolidates existing behavior without choosing new architecture.
Plan,l0/work/plans/tools/closed/2026-03-15-stage2-dist-target.md,2026-03-15,Add `make dist` and `make test-dist` for relocatable Stage 2 packaging,Feature,L0,L0,L0 Stage 2,Distribution packaging,Closed (implemented),3,"Final audited decision count: 3. Defines one relocatable contract, host archive formats, and a stable archive layout/naming surface."
Plan,l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md,2026-03-16,Add tag-triggered GitHub Release workflow with multi-platform binary archives,Feature,L0,L0,L0 Stage 2,CI / distribution / release management,Implemented,8,Final audited decision count: 8. Several historical release choices were later superseded by level-prefixed semantic-version tags and curated release bodies. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-17-darwin-arm64-triple-bootstrap-native-mismatch-noref.md,2026-03-17,Darwin arm64 triple-bootstrap native mismatch,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Bootstrap / self-hosting,Closed (fixed),1,Final audited decision count: 1. Refines the native identity contract through platform normalization while retaining strict C identity.
Plan,l0/work/plans/features/closed/2026-03-17-runtime-string-perf.md,2026-03-17,Fix memory/string performance bottlenecks causing Stage 2 slowness,Feature,L0,L0,L0 Stage 1 and Stage 2,Runtime / standard library / codegen,Closed (implemented),0,"Final audited decision count: 0. The candidate hot-path data-movement choices were judged replaceable performance implementation details, so no durable architectural event remains. Global reconciliation removed 2 repeated or non-architectural candidate event(s)."
Plan,l0/work/plans/tools/closed/2026-03-20-github-workflows-current-state-noref.md,2026-03-20,Document the current GitHub workflow set,Tool,L0,Repository/tooling,Repository/tooling,GitHub Actions,Closed (implemented),0,Final audited decision count: 0. Explicitly retrospective inventory; it restates prior decisions.
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-chirpy-blog-export-link-target-parity-noref.md,2026-03-21,Fix Chirpy blog export fragment-target mismatches and operational defaults for the API sync workflow,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation / blog export,Closed,2,Final audited decision count: 2. Counts publication opt-in and canonical-surface ownership; fragment rewrites are mechanics.
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-l0-docgen-declaration-fidelity-noref.md,2026-03-21,Restore faithful L0 declaration rendering in generated API docs,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation generation,Closed,0,Final audited decision count: 0. Chooses original L0 source as the declaration authority with XML fallback. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-latex-detail-signature-block-parity-noref.md,2026-03-21,Make PDF detail-signature normalization robust across Doxygen LaTeX variants,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation generation,Closed,0,Final audited decision count: 0. Robustness fix to an already-chosen LaTeX normalizer.
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-latex-documented-function-signature-parity-noref.md,2026-03-21,Restore L0 function signatures in PDF detail sections for documented members,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation generation,Closed,0,Final audited decision count: 0. Source-location recovery mechanics under an existing fidelity rule.
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-latex-enum-summary-parity-noref.md,2026-03-21,Remove broken Doxygen enum payload dumps from PDF summary lists,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation generation,Closed,0,Final audited decision count: 0. A narrow PDF presentation correction.
Plan,l0/work/plans/bug-fixes/closed/2026-03-21-latex-member-id-fallback-parity-noref.md,2026-03-21,Recover L0 PDF detail signatures when XML and LaTeX member ids diverge,Bug Fix,L0,Repository/tooling,Repository/tooling,Documentation generation,Closed,0,Final audited decision count: 0. Implementation fallback for an existing source-fidelity decision.
Plan,l0/work/plans/tools/closed/2026-03-21-undocumented-functions-report-noref.md,2026-03-21,Generate and surface undocumented-function reports during documentation builds,Tool,L0,Repository/tooling,Repository/tooling,Documentation / CI,Closed,0,Final audited decision count: 0. Settles whether undocumented functions fail strict docs validation. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-03-22-stage2-null-statement-parity-noref.md,2026-03-22,Fix Stage 2 backend parity for statement-position `null` lowering and add null-form golden coverage,Bug Fix,L0,L0 Stage 2,L0 Stage 2,Backend / null lowering,Closed (fixed),0,Final audited decision count: 0. Mechanical retained-C parity correction.
Plan,l0/work/plans/refactors/closed/2026-03-22-backend-emitter-boundary-cleanup-noref.md,2026-03-22,Move backend-owned C fragments behind emitter helpers in Stage 1 and Stage 2,Refactor,L0,L0,L0 Stage 1 and Stage 2,Backend / C emitter,Closed (implemented),1,Final audited decision count: 1. An explicit target-boundary section distinguishes semantic policy from C spelling. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-22-release-pdf-upload-automation-noref.md,2026-03-22,Extract reusable docs-build workflow and automate PDF upload to tag-triggered releases,Refactor,L0,Repository/tooling,Repository/tooling,CI / release / documentation,Implemented,0,Final audited decision count: 0. Defines reusable workflow ownership and the PDF release-asset contract. Global reconciliation removed 2 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/tools/closed/2026-03-23-decouple-chirpy-blog-publishing-noref.md,2026-03-23,Replace direct blog-repo push with release-asset archive and optional `repository_dispatch`,Tool,L0,Repository/tooling,Repository/tooling,CI / documentation publishing,Closed (implemented),3,Final audited decision count: 3. Supersedes direct destination-repository writes with artifact handoff and optional notification.
Plan,l0/work/plans/tools/closed/2026-03-23-shell-to-python-tooling-port-noref.md,2026-03-23,Port build and test shell scripts to Python; keep thin launcher/env pairs,Tool,L0,Repository/tooling,Repository/tooling,Build workflow / test harness,Closed (implemented),2,Final audited decision count: 2. Contains an explicit rule of thumb and preserves Make as the orchestrator.
