event_id,source_type,source_path,local_id,date,summary,primary_category,secondary_categories,scope,status,explicitness,confidence,evidence_section,line_start,line_end,evidence_paraphrase,alternatives,rationale,current_docs,related_adrs,canonical_id,adr_coverage,adr_recommendation,included_in_primary_total,reviewer_notes
DEA-DEC-0019,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D08,2026-02-19,Mode-scoped options are validated as fatal CLI errors when used with incompatible modes.,CLI and distribution,Diagnostics and recovery,L0,Retained,Explicit,High,Public CLI Interface,39,40,The plan requires explicit parser errors for options used outside their allowed modes.,Silently ignore incompatible options | Accept every option globally and defer failure,Early validation gives deterministic behavior and prevents flags from being silently ineffective.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0019,Directly covered,Covered by the shared CLI ADR.,Yes,
DEA-DEC-0020,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D09,2026-02-19,"With `--run --keep-c`, generated C is retained as `./a.c` by default or as `<output>.c` when `-o` is supplied, while the executable remains temporary.",CLI and distribution,Backend and C emission,L0 Stage 1,Retained,Explicit,High,Public CLI Interface,41,42,The plan fixes the retained-C artifact path for run mode and distinguishes it from the temporary executable.,Retain C beside a temporary executable | Require an explicit C output path,The rule makes `--keep-c` deterministic and aligns run-mode C artifacts with build-mode naming.,l0/docs/specs/compiler/stage1-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0020,Covered as part of a broader ADR,Covered by the shared CLI contract; no separate ADR.,Yes,
DEA-DEC-0021,Plan,l0/work/plans/features/closed/2026-02-24-stage2-driver-l0c-port-syntax-plumbing-noref.md,D01,2026-02-24,The Stage 2 CLI accepts mode flags only and deliberately omits the Stage 1 legacy command-word rewrite shim.,CLI and distribution,Bootstrap and self-hosting,L0 Stage 2,Retained,Explicit,High,Locked Decisions For This Plan,46,58,The first locked decision makes Stage 2 flags-only and expressly rejects a legacy command-word shim.,Port the Stage 1 compatibility shim mechanically | Accept command words as aliases,A new self-hosted CLI did not need to reproduce transitional compatibility syntax.,l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0012,Directly covered,Covered by the current flags-only shared CLI contract.,Yes,
DEA-DEC-0022,Plan,l0/work/plans/refactors/closed/2026-02-24-stage-independent-shared-assets-layout-noref.md,D01,2026-02-24,"The L0 stdlib and C runtime are stage-independent assets under `compiler/shared`, consumed by both Stage 1 and Stage 2.",Repository and process architecture,Standard library | Runtime,L0,Retained,Explicit,High,Summary,19,30,The plan moves stdlib/runtime assets out of Stage 1 ownership into a shared compiler directory for both stages.,Keep Stage 1 as the physical owner and let Stage 2 reference it | Duplicate assets per compiler stage,Stage-independent placement makes the runtime and standard library part of the language level rather than one bootstrap implementation.,l0/docs/reference/architecture.md | l0/docs/reference/standard-library.md,docs/decisions/0004-monorepo-directory-structure.md,DEA-CANON-0021,Partially covered,Candidate P1 ADR: stage-independent level assets and compiler-home layout.,Yes,
DEA-DEC-0023,Plan,l0/work/plans/refactors/closed/2026-02-24-stage-independent-shared-assets-layout-noref.md,D02,2026-02-24,"`L0_HOME` denotes the compiler root, from which the default stdlib and runtime include paths are derived under `shared/`.",CLI and distribution,Repository and process architecture,L0,Retained,Explicit,High,Summary,25,29,The plan defines compiler root as canonical L0_HOME and derives L0_SYSTEM and L0_RUNTIME_INCLUDE from its shared subdirectories.,Define L0_HOME as the Stage 1 implementation root | Require every asset path to be configured independently,"One stable compiler-home base supports source-tree, bootstrap, and installed layouts without stage coupling.",docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0022,Covered as part of a broader ADR,Covered by the shared CLI/environment contract.,Yes,
DEA-DEC-0024,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,D01,2026-02-24,Stage 2 lexer and parser diagnostics use the common `util.diag` Diagnostic/DiagCollector representation.,Diagnostics and recovery,Frontend architecture,L0 Stage 2,Retained,Explicit,High,Summary,17,27,The plan unifies both frontend phases on util.diag and replaces phase-specific error-state representations.,Keep distinct lexer and parser error types | Convert only at the driver boundary,"A common representation supports aggregation, rendering, and ownership through the compiler pipeline.",l0/docs/reference/architecture.md | docs/specs/compiler/diagnostic-code-catalog.md,,DEA-CANON-0023,ADR not warranted,A conventional internal diagnostic data contract is adequately documented in architecture/spec files.,Yes,
DEA-DEC-0025,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,D02,2026-02-24,The Stage 2 lexer remained fail-fast at the first lexer error even after adopting Diagnostic records.,Diagnostics and recovery,Frontend architecture,L0 Stage 2,Superseded,Explicit,High,Summary,19,24,The plan explicitly keeps fail-fast lexer control flow while changing the error representation.,Recover lexing and emit multiple lexer errors | Encode recoverable lexer failures as parser-visible tokens,The refactor initially limited behavior change while unifying the diagnostic API.,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md,DEA-CANON-0024,Directly covered,Historical policy is superseded by the logical lexer-error recovery ADR.,Yes,
DEA-DEC-0026,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,D03,2026-02-24,"The Stage 2 parser public result is diagnostics-only, with a collector and helper queries instead of a public single-error enum.",Frontend architecture,Diagnostics and recovery,L0 Stage 2,Retained,Explicit,High,Public API and Type Interface,29,38,ParseResult gains a DiagCollector and public count/error helpers while ParseError and ParseErrorState are removed.,Preserve a single public ParseErrorState | Expose exceptions or abort on parse failure,A collection-based result permits multi-error parsing without a second competing public error state.,l0/docs/reference/architecture.md,,DEA-CANON-0011,ADR not warranted,Keep as a stable parser API contract; no standalone ADR is necessary.,Yes,
DEA-DEC-0027,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,D04,2026-02-24,"Parser recovery was initially limited to synchronization between top-level declarations, with no statement-level recovery.",Diagnostics and recovery,Frontend architecture,L0 Stage 2,Superseded,Explicit,High,Recovery Scope,52,58,The plan chooses top-level synchronization only and explicitly excludes deep statement-level recovery.,Add statement/block recovery in the same change | Remain fully fail-fast after the first parser error,A narrow recovery boundary reduced semantic drift while enabling multiple top-level diagnostics.,l0/docs/reference/architecture.md,,DEA-CANON-0025,ADR not warranted,Historical recovery limit was broadened by later parser-recovery plans; no ADR needed.,Yes,
DEA-DEC-0028,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,D05,2026-02-24,Source-entry parsing initially copied lexer diagnostics directly into the ParseResult diagnostic collector.,Diagnostics and recovery,Frontend architecture,L0 Stage 2,Superseded,Explicit,High,Internal Design Changes,45,51,The lex-to-parse path is directed to propagate the lexer's collector entries into the parse result.,Keep lexer diagnostics separate at the driver | Carry recoverable lexer errors through parser-visible wrapper tokens,Direct propagation gave callers one result surface before logical recovery tokens existed.,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md,DEA-CANON-0026,Directly covered,Superseded by the logical lexer-error wrapper-token ADR.,Yes,
DEA-DEC-0029,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-util-stdlib-lift.md,D01,2026-02-24,Reusable containers and text infrastructure are public flat `std.*` modules shared by both L0 compiler stages rather than Stage 2-private `util.*` modules.,Standard library,Repository and process architecture,L0,Retained,Explicit,High,Public API and Type Interface,30,38,The plan adds flat std.array/vector/hashmap/hashset/linear_map/text modules and hard-cuts Stage 2 to those public modules.,Keep compiler-private utility modules | Use a nested `std.collections.*` namespace,General-purpose structures belong to the language-level stdlib and can serve both the bootstrap and self-hosted compilers.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0027,Covered as part of a broader ADR,Covered by the stdlib module-boundary ADR.,Yes,
DEA-DEC-0030,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-util-stdlib-lift.md,D02,2026-02-24,Compiler-specific diagnostic infrastructure remains private to Stage 2 as `util.diag` and is not promoted to `std.diag`.,Standard library,Diagnostics and recovery | Frontend architecture,L0 Stage 2,Retained,Explicit,High,Public API and Type Interface,30,38,The plan explicitly adds no std.diag module while lifting reusable data structures and text helpers.,Expose diagnostics as a general stdlib module | Move diagnostics into another public support namespace,The diagnostic model is compiler-specific rather than a general L0 program API.,l0/docs/reference/architecture.md | l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0028,Covered as part of a broader ADR,The stdlib boundary ADR is sufficient.,Yes,
DEA-DEC-0031,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-util-stdlib-lift.md,D03,2026-02-24,"The L0 stdlib dependency graph must remain acyclic, specifically avoiding mutual imports between `std.string` and `std.text`.",Standard library,Repository and process architecture,L0,Retained,Explicit,High,Dependency Constraints,40,45,The plan requires an acyclic final graph and forbids forcing a std.string/std.text import cycle.,Permit mutually recursive stdlib modules | Break cycles through compiler-specific import exceptions,Acyclic stdlib modules keep bootstrap loading deterministic and avoid special module-cycle semantics.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0029,Covered as part of a broader ADR,Treat as a consequence of the stdlib module-boundary ADR.,Yes,
DEA-DEC-0032,Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-util-stdlib-lift.md,D04,2026-02-24,"String construction, case conversion, repetition, reversal, and integer formatting helpers remain in `std.text` rather than moving to `std.string`.",Standard library,,L0,Retained,Explicit,High,Summary,18,28,"The plan expressly keeps concat, case, repeat, reverse, and integer-formatting helpers in std.text.",Move all string-returning helpers into `std.string` | Split formatting into a separate module,Keeping higher-level text assembly and formatting together preserves the acyclic low-level string/text boundary.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0030,Directly covered,Covered by the stdlib module-boundary ADR.,Yes,
DEA-DEC-0033,Plan,l0/work/plans/bug-fixes/closed/2026-02-25-arc-opt-as-string-unwrap-ownership-noref.md,D01,2026-02-25,Unwrapping a place-owned `string?` with `opt as string` is non-consuming: the optional remains valid and the value is ownership-stabilized only when it crosses a real ownership boundary.,Ownership and memory safety,Language semantics | Backend and C emission,L0,Retained,Explicit,High,Assumptions and Defaults,141,145,"The plan states that unwrap is not move-out, does not invalidate the optional, and should gain ownership only at actual ownership boundaries rather than through blanket retains.",Treat unwrap as a move that consumes the optional | Retain every unwrap result immediately,Non-consuming value semantics preserve the source optional while avoiding both dangling aliases and unnecessary retains.,l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0007-nullability-and-casts.md | l0/docs/decisions/0008-arc-ownership-model.md,DEA-CANON-0031,Covered as part of a broader ADR,Covered by the ARC and nullability ADRs plus the normative ownership section.,Yes,
DEA-DEC-0034,Plan,l0/work/plans/bug-fixes/closed/2026-02-25-stdio-stale-errno-io-wrappers-noref.md,D01,2026-02-25,"L0 I/O wrappers classify success and failure solely from each runtime call's direct return value, never from ambient `errno`.",Standard library,Runtime,L0,Retained,Explicit,High,Patch std.io wrappers,45,53,"Each affected wrapper's failure rule is defined by null, false, or -1 from the called runtime function, with errno removed from classification.",Require both a failure return and nonzero errno | Clear and inspect errno around every wrapper call,Process-global errno can be stale; the called function's explicit return channel is the only operation-specific evidence.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0032,ADR not warranted,"A narrow, obvious error-channel correction is fully represented in stable stdlib documentation.",Yes,
DEA-DEC-0035,Plan,l0/work/plans/bug-fixes/closed/2026-02-27-stage1-backend-mixed-int-byte-binary-ice-1014-noref.md,D01,2026-02-27,Mixed `int`/`byte` relational and equality expressions remain valid numeric operations; the backend must lower them rather than reject them as a type mismatch.,Type system,Backend and C emission | Language semantics,L0,Retained,Embedded,Medium,Scope of This Fix,45,50,The plan deliberately keeps the type checker's mixed numeric semantics unchanged and aligns backend comparison/equality lowering with them.,Tighten the type checker to require equal operand types | Require explicit casts between int and byte,"The two fixed-width integer types are intentionally compatible in numeric contexts, and backend rejection would contradict accepted source semantics.",l0/docs/reference/design-decisions.md,l0/docs/decisions/0003-integer-model.md | l0/docs/decisions/0013-comparison-operator-scope.md,DEA-CANON-0033,Partially covered,"Candidate P1 ADR: numeric compatibility, result types, and promotion rules for `int` and `byte`.",Yes,
DEA-DEC-0036,Plan,l0/work/plans/bug-fixes/closed/2026-02-27-with-cleanup-drop-false-positive-noref.md,D01,2026-02-27,Bindings declared in a `with` header remain in scope throughout all inline and block cleanup clauses.,Language semantics,Type system | Ownership and memory safety,L0,Retained,Embedded,Medium,Assumptions,79,83,The plan states that header variables remain scoped for the duration of every cleanup clause.,Scope each binding only to its own cleanup | Expose header bindings to the body but not cleanup clauses,"Cleanup must be able to release or inspect resources acquired in the header, including during LIFO unwinding.",l0/docs/reference/grammar.md | l0/docs/reference/ownership.md,l0/docs/decisions/0010-with-statement-cleanup.md,DEA-CANON-0034,Covered as part of a broader ADR,Clarify explicitly in the existing `with` ADR or normative grammar; no new ADR.,Yes,
DEA-DEC-0037,Plan,l0/work/plans/features/closed/2026-02-27-stdlib-string-conversions-noref.md,D01,2026-02-27,"Parsing and formatting conversions live in `std.text`, while low-level character, byte, and raw string helpers remain in `std.string`.",Standard library,,L0,Retained,Explicit,High,Behavior and Design Decisions,54,64,The plan explicitly assigns conversion/parsing APIs to std.text and low-level byte/string character helpers to std.string.,Keep integer parsing in `std.string` | Place conversions in per-type modules,The split distinguishes raw byte-string operations from textual representation and parsing.,l0/docs/reference/standard-library.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,DEA-CANON-0030,Directly covered,Covered by the stdlib module-boundary ADR.,Yes,
DEA-DEC-0038,Plan,l0/work/plans/features/closed/2026-02-27-stdlib-string-conversions-noref.md,D02,2026-02-27,The canonical boolean text representation is lowercase `true`/`false`; parsing is case-sensitive and returns null for every other spelling.,Standard library,Language semantics,L0,Retained,Explicit,High,Behavior and Design Decisions,58,60,The plan accepts exactly lowercase true and false and specifies null for other input.,Case-insensitive parsing | Accept numeric or abbreviated boolean spellings | Panic on invalid text,One strict representation avoids locale and synonym ambiguity while using optionals for parse failure.,l0/docs/reference/standard-library.md,,DEA-CANON-0035,ADR not warranted,Narrow public helper semantics are adequately normative in the stdlib reference.,Yes,
