relationship_id,from_event_id,to_event_id,relationship_type,earlier_source_path,later_source_path,evidence_section,line_start,line_end,explanation,confidence
DEA-REL-0041,DEA-DEC-0570,DEA-DEC-0563,Broadened by,work/plans/bug-fixes/closed/2026-07-11-shared-ci-platform-portability-regressions-noref.md,l0/work/plans/bug-fixes/closed/2026-07-11-darwin-arm64-triple-bootstrap-uuid-normalization-noref.md,Scope of This Fix,42,50,The Darwin arm64 executable-preservation policy gained comparison-copy-only UUID neutralization without mutating executable artifacts.,High
DEA-REL-0042,DEA-DEC-0014,,Superseded by,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,l0/docs/specs/compiler/cli-contract.md,1. Mode Flags,16,32,The transitional Stage 1 command-word rewrite was removed; the normative current contract accepts mode flags only.,Medium
DEA-REL-0043,DEA-DEC-0017,DEA-DEC-0481,Superseded by,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,l1/work/plans/features/closed/2026-04-24-separate-compilation-driver-surface-noref.md,Defaults Chosen,72,80,The original runtime-include meaning of -I was withdrawn; -I now denotes interface search and runtime paths use -Ri/-Rl.,High
DEA-REL-0044,DEA-DEC-0078,DEA-DEC-0158,Superseded by,l0/work/plans/tools/closed/2026-03-04-release-oriented-docs-publishing-automation-noref.md,l0/work/plans/tools/closed/2026-03-23-decouple-chirpy-blog-publishing-noref.md,Solution / Dea repo,28,45,Direct destination checkout/commit/push was replaced by an export archive plus optional notification.,High
DEA-REL-0045,DEA-DEC-0147,DEA-DEC-0571,Superseded by,l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md,l0/work/plans/tools/closed/2026-07-13-release-1-1-0-preparation-noref.md,Release policy and version metadata,68,68,Date-based bare-v release identity was replaced by level-qualified semantic-version tags tied one-to-one to curated notes.,High
DEA-REL-0046,DEA-DEC-0153,DEA-DEC-0572,Superseded by,l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md,l0/work/plans/tools/closed/2026-07-13-release-1-1-0-preparation-noref.md,Release policy and version metadata,69,70,Automatically generated Git-log release bodies were replaced by checked-in release notes used unchanged.,High
DEA-REL-0047,DEA-DEC-0160,DEA-DEC-0582,Broadened by,l0/work/plans/tools/closed/2026-03-23-decouple-chirpy-blog-publishing-noref.md,work/plans/tools/closed/2026-07-13-remote-publication-authorization-guardrails-noref.md,Defaults Chosen,62,80,The blog-specific destination-ownership rule was generalized to every independently governed external repository.,High
DEA-REL-0048,DEA-DEC-0168,DEA-DEC-0366,Broadened by,l0/work/plans/refactors/closed/2026-03-24-monorepo-language-level-layout-noref.md,work/plans/tools/closed/2026-05-06-shared-uv-workspace-monorepo-noref.md,Summary,58,71,The single root virtual environment was strengthened into one native uv workspace with one root lockfile and root-owned dependency groups.,High
DEA-REL-0049,DEA-DEC-0259,DEA-DEC-0421,Superseded by,work/plans/features/closed/2026-04-14-shared-std-math-int-surface-noref.md,work/plans/refactors/closed/2026-05-13-shared-std-math-to-std-integer-rename-noref.md,Summary,64,72,The initially retained std.math public name was replaced by std.integer without changing the integer/real partition.,High
DEA-REL-0050,DEA-DEC-0471,DEA-DEC-0590,Broadened by,l1/work/plans/features/closed/2026-04-24-module-interface-emission-noref.md,l1/work/plans/features/closed/2026-07-17-interface-fingerprint-canonicalization-and-verification-noref.md,Summary,62,74,"The reserved interface fingerprint slot became one mandatory, verified whole-module compatibility value.",High
DEA-REL-0051,DEA-DEC-0366,,Transferred to stable documentation by,work/plans/tools/closed/2026-05-06-shared-uv-workspace-monorepo-noref.md,docs/decisions/0004-monorepo-directory-structure.md,Decision,19,29,"The root uv workspace, shared environment, lockfile, and delegation rule are now recorded in the monorepo ADR.",High
DEA-REL-0052,DEA-DEC-0421,,Transferred to stable documentation by,work/plans/refactors/closed/2026-05-13-shared-std-math-to-std-integer-rename-noref.md,l0/docs/decisions/0015-stdlib-module-boundaries.md,Decision,15,27,The current std.integer name and integer-focused module boundary were promoted into the stable stdlib-boundary ADR.,High
DEA-REL-0053,DEA-DEC-0528,,Transferred to stable documentation by,work/plans/features/closed/2026-06-30-shared-editor-support-noref.md,docs/decisions/0004-monorepo-directory-structure.md,Decision / Consequences,19,47,The shared editors/ package and preservation of level-specific identities are now captured by the monorepo ADR.,High
DEA-REL-0054,DEA-DEC-0092,DEA-DEC-0381,Superseded by,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,work/plans/refactors/closed/2026-05-08-sys-memory-rename-noref.md,Defaults Chosen,78,83,The sys.unsafe module name was replaced by sys.memory so unsafe could become a language keyword.,High
DEA-REL-0055,DEA-DEC-0501,DEA-DEC-0505,Broadened by,l1/work/plans/features/closed/2026-06-17-stage1-const-value-grammar-contexts-noref.md,l1/work/plans/features/closed/2026-06-18-stage1-const-scalar-casts-noref.md,Defaults Chosen,47,50,The reusable ConstValue evaluator was extended from literals and const references to checked scalar casts.,High
DEA-REL-0056,DEA-DEC-0501,DEA-DEC-0518,Broadened by,l1/work/plans/features/closed/2026-06-17-stage1-const-value-grammar-contexts-noref.md,l1/work/plans/features/closed/2026-06-24-stage1-scalar-const-expression-flow-noref.md,Defaults Chosen,64,68,The reusable ConstValue evaluator was extended to a bounded family of checked scalar expressions.,High
DEA-REL-0057,DEA-DEC-0218,DEA-DEC-0232,Superseded by,l1/work/plans/features/closed/2026-04-04-l1-small-int-builtins-on-dea-abi-noref.md,l1/work/plans/features/closed/2026-04-13-l1-uint-long-ulong-bigint-builtins-noref.md,Defaults Chosen,90,92,The temporary reservation of long ended when the later wide-integer tranche made it a real builtin.,High
DEA-REL-0058,DEA-DEC-0219,DEA-DEC-0233,Superseded by,l1/work/plans/features/closed/2026-04-04-l1-small-int-builtins-on-dea-abi-noref.md,l1/work/plans/features/closed/2026-04-13-l1-uint-long-ulong-bigint-builtins-noref.md,Defaults Chosen,91,92,The temporary reservation of ulong ended when the later wide-integer tranche made it a real builtin.,High
