candidate_id,candidate_key,title,destination,priority,canonical_decision_ids,related_closed_plans,related_closed_initiatives,architectural_question,chosen_decision,alternatives,rationale,consequences,current_docs,proposed_adr_ref,numbering_action
DEA-ADR-CAND-011,l0-supported-host-and-release-portability-tiers,"L0 Supported Host, Toolchain, and Release Artifact Tiers",l0/docs/decisions/,P1,DEA-CANON-0142 | DEA-CANON-0165 | DEA-CANON-0167 | DEA-CANON-0168,l0/work/plans/bug-fixes/closed/2026-03-30-windows-dist-libwinpthread-dll-dependency-noref.md | l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md | l0/work/plans/tools/closed/2026-03-31-windows-ci-msys2-mingw-python-noref.md,,"Which hosts and Windows toolchain environments are first-class L0 build/release targets, and what relocatability guarantees do their artifacts provide?","Release binaries target Linux x86_64, macOS x86_64/arm64, and Windows x86_64; UCRT64 with MSYS2 Python is the automatic Windows tier, MINGW64/native Python are manual supported tiers, and Windows distribution builds statically link the GCC runtime unless explicitly overridden.",Ship fewer binary targets | Use MINGW64 or MSVC as the automatic Windows baseline | Depend on libwinpthread/GCC runtime DLLs in the distribution | Treat manual Windows configurations as unsupported,"A documented tier model aligns CI, support claims, and downloadable artifact portability.",Release workflows maintain a four-artifact platform matrix. | Windows CI and manual lanes intentionally differ. | Default Windows distributions avoid an undeclared runtime DLL dependency.,l0/docs/reference/architecture.md | l0/docs/releases/README.md,L0-ADR-0021,New ADR
DEA-ADR-CAND-012,l0-time-model-value-and-runtime-boundary,"L0 Time Model, Public Values, and Runtime Boundary",l0/docs/decisions/,P1,DEA-CANON-0046 | DEA-CANON-0047 | DEA-CANON-0048 | DEA-CANON-0049 | DEA-CANON-0050 | DEA-CANON-0051 | DEA-CANON-0052 | DEA-CANON-0053,l0/work/plans/features/closed/2026-02-27-stdlib-time-interface-noref.md,,"What time domains and value/failure contracts does L0 expose, and which clock/calendar responsibilities belong to the runtime versus the language standard library?","L0 exposes distinct WallTime, MonotonicTime, Duration, and DateTime values with optional failure and normalized nanoseconds; the runtime supplies wall/monotonic snapshots and local offset/DST facts, while language code performs UTC calendar conversion and monotonic time never falls back to wall time.",Read seconds and nanoseconds through separate calls | Fall back from monotonic to wall-clock time | Delegate both UTC and local calendar conversion to libc | Implement host timezone rules in the language library | Use one generic timestamp type | Panic or return sentinel values on conversion failure | Permit denormalized nanosecond fields | Represent leap seconds,"One ADR should keep public time semantics, failure behavior, normalization, and the host/runtime boundary coherent because changing any one of them constrains the others.",Clock availability is explicit in the API. | The runtime ABI returns a coherent two-field snapshot. | UTC conversion is portable integer arithmetic; local conversion remains host-dependent. | APIs cannot freely mix wall and monotonic values; callers handle null; DateTime second remains 0..59; runtime adapters normalize platform values.,l0/docs/reference/standard-library.md | l0/docs/reference/design-decisions.md | l1/docs/reference/standard-library.md,L0-ADR-0022,New ADR
DEA-ADR-CAND-013,l0-toolchain-installation-and-distribution-layout,L0 Toolchain Installation and Distribution Layout,l0/docs/decisions/,P1,DEA-CANON-0105 | DEA-CANON-0106 | DEA-CANON-0107 | DEA-CANON-0116 | DEA-CANON-0135 | DEA-CANON-0137 | DEA-CANON-0138 | DEA-CANON-0139 | DEA-CANON-0143 | DEA-CANON-0144,l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md | l0/work/plans/tools/closed/2026-03-11-windows-build-support.md | l0/work/plans/tools/closed/2026-03-13-windows-dev-install-and-prefix-workflow.md | l0/work/plans/tools/closed/2026-03-15-stage2-dist-target.md | l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md,,"What constitutes a runnable, relocatable L0 toolchain across repo-local, installed-prefix, and binary-distribution contexts?","Keep repo-local stage selection explicit and checkout-relative, while installed and distributed Stage 2 toolchains are self-contained, relocatable, omit Stage 1, carry shared assets and version metadata, and use host-native launch/archive forms.",Install Stage 1 alongside Stage 2 | Use one checkout-bound layout for installs and distributions | Give distributions a separate layout from installed prefixes | Require ambient L0_HOME configuration,One relocatable installed-prefix contract minimizes layout drift while preserving an explicit bootstrap/developer distinction.,Launchers and assets must resolve relative to the selected layout; distribution tests must cover POSIX and Windows forms; Stage 1 remains a build oracle rather than a shipped dependency.,l0/docs/specs/compiler/stage2-contract.md | l0/docs/reference/architecture.md | l0/docs/user/README.md | l0/docs/user/README-WINDOWS.md,L0-ADR-0023,New ADR
DEA-ADR-CAND-014,l1-case-value-comparability,L1 Case Value Comparability and Unreachable-Arm Policy,l1/docs/decisions/,P1,DEA-CANON-0433 | DEA-CANON-0434 | DEA-CANON-0435 | DEA-CANON-0437,l1/work/plans/bug-fixes/closed/2026-06-08-stage1-case-builtin-literal-support-noref.md,,"How do case arm values relate to equality compatibility, and what happens to a well-formed arm outside the scrutinee's value domain?","Case uses equality comparability over the supported builtin families; an out-of-domain integer arm is valid but warned as always false, its body is still type-checked, and it does not become a viable runtime branch.",Require exact arm-literal and scrutinee types | Reject out-of-domain integer arms as errors | Skip type checking bodies of statically impossible arms,"Reusing equality compatibility keeps dispatch coherent with operators, while warning preserves useful diagnostics without hiding errors in unreachable source.",Case typing and equality conversion rules must evolve together | Reachability classification is separate from ordinary type checking | Out-of-domain arms need a stable warning and lowering policy,docs/specs/compiler/diagnostic-code-catalog.md | l1/docs/reference/design-decisions.md,L1-ADR-0023,New ADR
DEA-ADR-CAND-015,l1-named-call-semantics,"L1 Named-Call Syntax, Completeness, and Evaluation Order",l1/docs/decisions/,P1,DEA-CANON-0302 | DEA-CANON-0303 | DEA-CANON-0304 | DEA-CANON-0305 | DEA-CANON-0306,l1/work/plans/features/closed/2026-04-22-named-arguments-noref.md,,"Which call surfaces accept labels, may labels mix with positional arguments, and how do label mapping and side-effect order interact?",Top-level functions and constructors accept label: expression arguments; a call is entirely positional or named; every label appears exactly once; labels map to declaration order while expressions evaluate left-to-right in written order.,Allow positional arguments followed by named arguments | Evaluate named arguments in parameter/declaration order | Permit omitted labels through default arguments,The rule gives deterministic completeness and preserves visible side-effect order without introducing defaults or mixed-call ambiguity.,"Backends must stabilize source-order evaluation before parameter reordering | Function-pointer calls and compiler intrinsics remain outside the named surface | Unknown, duplicate, and omitted labels are static errors",l1/docs/reference/design-decisions.md,L1-ADR-0024,New ADR
DEA-ADR-CAND-016,l1-pointer-equality-ordering,L1 Pointer Equality and Ordering Semantics,l1/docs/decisions/,P1,DEA-CANON-0292 | DEA-CANON-0293 | DEA-CANON-0294,l1/work/plans/features/closed/2026-04-19-pointer-identity-equality-noref.md,,"Do L1 pointer comparisons use reference identity, what compatibility is required, and is address ordering meaningful?","Same-type non-null pointers compare by identity with == and !=; different pointer types require an explicit cast, and ordered pointer comparisons are rejected.",Implicitly coerce every pointer type through void* for equality | Define ordering over host addresses | Reject all pointer comparison,"Identity equality is useful and portable enough for same-type references, while cross-type coercion and address ordering would import host-C assumptions into L1.",Pointer equality remains nominally type-strict | Users must cast deliberately for heterogeneous identity checks | Sorting or relational comparison of addresses is not a language operation,l1/docs/reference/design-decisions.md,L1-ADR-0025,New ADR
DEA-ADR-CAND-017,l1-real-library-runtime-and-linkage-boundary,L1 Real-Library Runtime and Host-Math Linkage Boundary,l1/docs/decisions/,P1,DEA-CANON-0243 | DEA-CANON-0244 | DEA-CANON-0245 | DEA-CANON-0246 | DEA-CANON-0247 | DEA-CANON-0248,l1/work/plans/features/closed/2026-04-14-l1-std-real-module-noref.md,,"How does L1 expose floating-point library operations without overloads, compiler intrinsics, or unconditional host-math linkage?","Expose `std.real` over `sys.real`, use explicit `_f`/`_d` APIs and public result structs, implement operations through a gated runtime helper header, and link the host math library only when those helpers are used.",Name the module std.float | Add compiler intrinsics or backend special cases | Use overloads rather than explicit width suffixes | Link libm for every program using float or double,"The boundary keeps the compiler generic, the pre-overload API explicit, and plain floating programs free of unnecessary host linkage.",Helper use is tracked separately from scalar type use. | Generated C conditionally includes l1_real.h. | Only real-library users receive the host math link dependency.,l1/docs/reference/standard-library.md | l1/docs/decisions/0005-floating-point-semantics.md,L1-ADR-0026,New ADR
DEA-ADR-CAND-018,l1-runtime-archive-and-trace-selection-boundary,L1 Runtime Archive and Trace-Selection Boundary,l1/docs/decisions/,P1,DEA-CANON-0339 | DEA-CANON-0340 | DEA-CANON-0341 | DEA-CANON-0343 | DEA-CANON-0344 | DEA-CANON-0345 | DEA-CANON-0346 | DEA-CANON-0347 | DEA-CANON-0348,l1/work/plans/refactors/closed/2026-04-24-runtime-static-library-split-noref.md,l1/work/initiatives/closed/0002-runtime-static-library.md,"What is the L1 runtime artifact boundary, how are trace variants selected, and how does that boundary coexist with TinyCC and L0?","L1 uses declaration-only public headers backed by normal and traced archives selected by the driver; official archives use the platform object format, incompatible TinyCC uses parallel raw objects, traced wrappers preserve their public ABI while generated calls carry source locations directly, and L0 remains header-only at the 1.0 boundary.",Keep L1's runtime header-only | Toggle tracing at runtime or in each user C translation unit | Maintain a compatibility l1_runtime.h shim | Require one archive format to serve incompatible TinyCC objects | Backport the archive split to L0,A real L1 library establishes the link model needed by separate compilation while retaining deterministic tracing and supported compiler-family behavior without destabilizing L0.,"The driver, not user C preprocessor toggles, selects the runtime variant. | The public install surface excludes internal SipHash implementation headers. | TinyCC may link raw runtime objects while other toolchains consume archives. | L0 and L1 intentionally retain different runtime packaging models.",l1/docs/reference/c-backend-design.md | l1/docs/specs/compiler/abi.md | l0/docs/reference/design-decisions.md | l1/docs/reference/design-decisions.md,L1-ADR-0027,New ADR
DEA-ADR-CAND-019,documentation-publication-ownership-boundary,Documentation Publication Ownership and Cross-Repository Boundary,docs/decisions/,P2,DEA-CANON-0072 | DEA-CANON-0149 | DEA-CANON-0150 | DEA-CANON-0152 | DEA-CANON-0153 | DEA-CANON-0154,l0/work/plans/bug-fixes/closed/2026-03-21-chirpy-blog-export-link-target-parity-noref.md | l0/work/plans/tools/closed/2026-03-04-release-oriented-docs-publishing-automation-noref.md | l0/work/plans/tools/closed/2026-03-23-decouple-chirpy-blog-publishing-noref.md | work/plans/tools/closed/2026-07-13-remote-publication-authorization-guardrails-noref.md,,"Which repository owns documentation export, import, commit, deployment, and publication authorization?","Dea owns canonical docs and export artifacts, validation never publishes, blog synchronization is opt-in and artifact-based, notification is optional, and each destination repository owns its own import, commit, and deployment workflow.","Have Dea directly check out, commit, and push the destination repository | Make destination credentials mandatory for Dea documentation builds | Apply destination-specific normalization to canonical generated Markdown",Separating artifact production from destination publication reduces credential coupling and preserves independent repository governance.,Cross-repository writes require explicit authorization; missing destination configuration cannot break canonical docs production; the destination controls branch and deployment behavior.,CLAUDE.md | AGENTS.md | l0/docs/README.md | .github/workflows/l0-docs-validate.yml | .github/workflows/l0-docs-publish.yml,DEA-ADR-0017,New ADR
DEA-ADR-CAND-020,shared-editor-tooling-authority-and-identities,"Shared Editor Tooling, Level Identities, and Compiler Authority",docs/decisions/,P2,DEA-CANON-0511 | DEA-CANON-0512 | DEA-CANON-0513 | DEA-CANON-0514 | DEA-CANON-0515,work/plans/features/closed/2026-06-30-shared-editor-support-noref.md,,How should one shared editor implementation represent distinct language levels without becoming a competing semantic authority?,"Maintain one shared editor package with distinct L0/L1 public identities; use an error-tolerant L1-superset Tree-sitter grammar for structure, defer LSP semantics, and keep the compiler authoritative.",Separate editor repositories or packages per language level | Expose one undifferentiated Dea language identity | Treat Tree-sitter acceptance as normative language validity | Implement semantic validation independently in each editor,Shared syntax infrastructure avoids duplication while distinct identities and a compiler-authority boundary prevent silent level or semantic drift.,"Editor parsers must tolerate incomplete code, level mappings remain separate, and future LSP work must derive semantics from compiler contracts rather than editor grammar acceptance.",docs/decisions/0004-monorepo-directory-structure.md | editors/README.md | editors/tree-sitter-dea/README.md | editors/vscode-dea/package.json,DEA-ADR-0018,New ADR
DEA-ADR-CAND-021,shared-stdlib-naming-and-compatibility-policy,Shared Standard-Library Naming and Compatibility Policy,docs/decisions/,P2,DEA-CANON-0373 | DEA-CANON-0381 | DEA-CANON-0382 | DEA-CANON-0411,work/plans/refactors/closed/2026-05-08-sys-memory-rename-noref.md | work/plans/refactors/closed/2026-05-09-shared-stdlib-container-type-renames-noref.md | work/plans/refactors/closed/2026-05-13-shared-std-math-to-std-integer-rename-noref.md,,"How are shared public stdlib modules and specialized containers named, and what compatibility policy applies to pre-release renames?","Use intent-revealing module names such as sys.memory and std.integer, normalize specialized types to type-before-container order, and make pre-release renames as hard source breaks without compatibility aliases or shim modules.",Retain sys.unsafe and std.math | Keep container-first specialization names | Ship forwarding modules and type/function aliases | Allow a mixed-name transition period,A single canonical spelling prevents long-lived duplicate APIs and makes module/type intent visible before compatibility commitments harden.,"Imports, qualified names, helper prefixes, docs, tests, and L1 mangled names migrate atomically; old spellings remain historical only.",l0/docs/decisions/0015-stdlib-module-boundaries.md | l0/docs/reference/standard-library.md | l1/docs/reference/standard-library.md | docs/reference/style-guide.md,DEA-ADR-0019,New ADR
DEA-ADR-CAND-022,l0-filesystem-and-raw-io-runtime-abi,L0 Filesystem Metadata and Recoverable File-Read ABI,l0/docs/decisions/,P2,DEA-CANON-0085 | DEA-CANON-0126,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md | l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,,Which filesystem metadata and file-read edge conditions cross the L0 runtime ABI?,"The runtime returns a stable file-info metadata record, and empty files, short reads, and end-of-file remain recoverable outcomes rather than fatal runtime failures.",Use several independent metadata calls | Require full transfers or panic | Treat unsupported file kinds as compiler/runtime failures,A compact runtime boundary exposes ordinary host-I/O uncertainty to library code without converting expected environmental conditions into internal failures.,"Metadata availability is represented explicitly. | Empty files, short reads, and end-of-file remain ordinary recoverable cases. | Host filesystem edge cases do not become compiler/runtime internal failures.",l0/docs/reference/standard-library.md,L0-ADR-0024,New ADR
DEA-ADR-CAND-023,l0-runtime-trace-source-provenance,L0 Runtime Trace Source Provenance,l0/docs/decisions/,P2,DEA-CANON-0063 | DEA-CANON-0064,l0/work/plans/refactors/closed/2026-02-28-trace-source-location.md,,How do ARC and memory runtime trace events preserve the originating Dea source location across generated C?,"Trace records carry a source location field captured by macro-wrapped runtime entry points through `__FILE__` and `__LINE__`, with generated-C `#line` directives mapping those values back to Dea.",Record only generated-C locations | Pass explicit source-location arguments at every L0 runtime call | Omit source provenance from runtime traces,Runtime traces are useful for ownership archaeology only when events can be attributed to the originating Dea operation.,Trace ABI and tooling preserve a `loc` field. | Generated-C line directives and runtime entry macros form one provenance contract.,l0/docs/specs/runtime/trace.md | l0/docs/decisions/0011-c-emission-strategy.md,L0-ADR-0025,New ADR
